ID,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty,Outcome,Rank,Runtime,RawFilename
TIC\_261136679\_TESS\_sector\_33,41.3298143669912,45.4183191471351,7.40363657008719,139.005080964237,32.8951440140971,0.292283495261663,25.6410804867716,Flagged,2,0.000475,TIC_261136679_TESS_sector_33.fits
TIC\_261136679\_TESS\_sector\_14,33.6470452195241,37.179524606159,8.9132195367494,117.3935391638,26.0802469434857,0.336608216654942,29.013522350594,Flagged,2,0.000572,TIC_261136679_TESS_sector_14.fits
TESS\_S1,38.60681451382,40.1714663988173,7.43212061418885,142.103829527404,29.8756301966431,0.339439242676672,29.225105076304,Flagged,2,0.000143,TESS_S1.fits
TIC\_261136679\_TESS\_sector\_58,43.0357859613167,46.8275289098816,5.00586552371212,175.002062245222,33.1452692434941,0.347699474519597,29.8399045883868,Flagged,2,8.9e-05,TIC_261136679_TESS_sector_58.fits
TIC\_261136679\_TESS\_sector\_10,24.16866634605,24.8392946681413,7.77281794300146,85.2028483648188,18.442174489785,0.364121544788059,31.0510664533446,Flagged,2,0.000206,TIC_261136679_TESS_sector_10.fits
TIC\_261136679\_TESS\_sector\_7,87.3190977522737,90.8671070321042,10.2937207730517,323.938902590284,66.4251531534948,0.369641032388847,31.454868535263,Flagged,2,0.000767,TIC_261136679_TESS_sector_7.fits
TIC\_261136679\_TESS\_sector\_51,24.0785934437101,25.2229796732154,7.40125379418791,95.3048246473262,18.1155378758001,0.389811339346499,32.9168010841996,Flagged,2,5.4e-05,TIC_261136679_TESS_sector_51.fits
WD\_1145\_017,20.9991626759806,22.9904323518343,12.0503063535456,77.9523044204938,15.5459333797537,0.420177300003678,35.0781722976433,Flagged,2,6.9e-05,WD_1145_017.fits
TIC\_261136679\_TESS\_sector\_60,29.7859128652136,31.2749919970978,6.7393810502779,109.200720334537,22.0103438921613,0.423713863805166,35.3268854459902,Flagged,2,0.000106,TIC_261136679_TESS_sector_60.fits
TIC\_261136679\_TESS\_sector\_57,24.4739905859851,24.8323264204957,6.22251511744703,90.2938899253763,17.9543701958739,0.43781074706007,36.3121642195472,Flagged,2,0.000104,TIC_261136679_TESS_sector_57.fits
TIC\_261136679\_TESS\_sector\_18,33.4396544660294,36.1959673371311,8.68484040890954,125.013282353581,24.5140926138427,0.43921699752443,36.4099213982186,Flagged,2,0.00014,TIC_261136679_TESS_sector_18.fits
TIC\_261136679\_TESS\_sector\_15,25.8129938818615,28.8136563477219,8.16202039618988,87.4893167780795,18.8840822579106,0.443279712848414,36.6918102204748,Flagged,2,0.000504,TIC_261136679_TESS_sector_15.fits
