Filename,SourceType,Label,Label_Source,N_total,N_in,N_out,Depth_ppm,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty_pct,Suppression_pct,Tier,Transit_Expected,T_start_BTJD,T_end_BTJD
Kepler_Q17.fits,TESS_fits,NaN,unknown_excluded,1285,23,1262,49178.384846707,56.6623786374294,163.474518879453,11.719458019534,669.461584185232,21.7058444635186,4.00514530959328,161.046644523151,61.6926698358187,Tier 3,0,1559.24578881333,1591.0006323707
Kepler_Q2.fits,TESS_fits,NaN,unknown_excluded,4070,96,3974,1012.72330997204,41.7281810818878,46.9782378615541,4.74449956803539,177.711533881944,28.1623863019433,0.618822530367405,48.1699051866508,32.5099115950508,Tier 2,0,169.764927730372,258.468123489671
Kepler_Q3.fits,TESS_fits,NaN,unknown_excluded,4134,94,4040,6010.66542673301,102.984902728945,122.00191698498,10.7484102105339,1093.91063532096,55.3857426983948,1.36177105735557,85.9411785624211,46.2195513800997,Tier 3,0,260.245829716674,349.49614399844
Kepler_Q4.fits,TESS_fits,NaN,unknown_excluded,4108,48,4060,1610.77494812101,25.6385797916066,25.4686001489116,3.82832783138761,94.8778904771068,18.0819366288467,0.518785743779923,41.7911162828904,29.473719777699,Tier 2,0,352.397600164681,442.202272219714
Kepler_Q5.fits,TESS_fits,NaN,unknown_excluded,4486,44,4442,751.177445301399,24.6337966609904,24.5498714173544,4.26199147922763,91.4799157375031,16.4514699502277,0.644376747481043,49.7361435514124,33.2158571549796,Tier 2,0,443.510031654361,538.16221368366
Kepler_Q6.fits,TESS_fits,NaN,unknown_excluded,4272,43,4229,383.130574593715,16.6900387766954,16.8605029403842,3.41079160689964,42.4777303381109,10.7404164759728,0.740107818377619,55.3947075891551,35.6477440245983,Tier 2,0,539.469987791665,629.297080784105
Kepler_Q7.fits,TESS_fits,NaN,unknown_excluded,4226,14,4212,956.29275353748,13.8488924648943,14.1707730262541,3.83977275731902,51.2577532117174,11.9647581585794,0.170549929993302,15.7473664017518,13.6049457463194,Tier 2,0,630.19616212196,719.548702014123
Kepler_Q8.fits,TESS_fits,NaN,unknown_excluded,3106,43,3063,75521.5591128996,117.174465120178,174.717152440085,17.7456394315979,2093.78318426874,36.9734817186163,7.75083213762077,216.914879729004,68.445785794119,Tier 3,0,735.384105530582,802.344239499893
Kepler_Q9.fits,TESS_fits,NaN,unknown_excluded,4610,13,4597,495.478359451851,11.9095700800361,12.2078616742836,4.01932268945834,39.3369965321693,7.54865099591224,0.781950229977667,57.7708399353125,36.6169312142847,Tier 2,0,808.535690758734,905.925980650805
TESS_S1.fits,TESS_fits,NaN,unknown_excluded,18264,110,18154,477.388429199199,38.60681451382,40.1714663988173,7.43212061418885,142.103829527404,29.8756301966431,0.339439242676672,29.225105076304,22.615655881299,Tier 2,0,1325.29696049506,1353.17706589722
TESS_S11.fits,TESS_fits,NaN,unknown_excluded,14912,46,14866,615.706336629884,23.2631700293076,24.6006010632975,6.80414308113608,79.789437122181,15.1991612296572,0.699877470013934,53.0556172002145,34.6642731385752,Tier 2,0,1599.15188231818,1623.89258557597
TESS_S12.fits,TESS_fits,NaN,unknown_excluded,15103,65,15038,545.973988249848,28.5784711662964,29.7650535952221,8.15422958011677,101.298497864079,19.5497910363704,0.58697550546584,46.1830006936085,31.5925931705326,Tier 2,0,1628.06485299787,1652.89281868689
TESS_S13.fits,TESS_fits,NaN,unknown_excluded,19435,58,19377,535.610172307521,26.6415371801279,27.6810107516387,8.69739305073937,93.1935900808073,18.5615367379876,0.545440230416071,43.5308808542993,30.328581971491,Tier 2,0,1653.9219847348,1682.35800113913
TESS_S4.fits,TESS_fits,NaN,unknown_excluded,14642,189,14453,1866.79674508694,68.817327532629,135.858465267345,5.33234850194461,344.47807362713,37.927866484212,1.25788049556597,81.4426539422545,44.8861677079383,Tier 3,0,1410.90211061086,1436.41410715405
TESS_S8.fits,TESS_fits,NaN,unknown_excluded,12935,48,12887,1469.44265537685,40.5785938030732,47.5767091761704,8.55000539884207,237.665679487797,24.1898647204232,0.968956993520898,67.75039576312,40.3876220112113,Tier 3,0,1517.98069906731,1541.99920302427
TIC14444029_lc.fits,TESS_fits,0,literature_artifact,1072,11,1061,216348.283733415,163.673527613501,229.561783266676,80.346552958524,8077.19412148342,41.7491423610114,17.5487898296173,292.040454862977,74.4924283298898,Tier 3,0,1491.66240063426,1516.07868022074
TIC_261136679.fits,TESS_fits,1,ephemeris_confirmed,18257,321,17936,295.607383194674,41.2880754235941,43.0170549879358,5.25108456655727,95.1415837774768,37.0813339235041,0.120131777508821,11.3446336875804,10.1887565766412,Tier 1,1,1325.29696049506,1353.17706589722
TIC_261136679_TESS_sector_1.fits,TESS_fits,1,ephemeris_confirmed,18279,322,17957,296.866060655376,40.6274319747263,43.2230304823335,5.21890916194886,91.9783372702363,36.5779492441521,0.117069014944622,11.0708304162831,9.96736080462409,Tier 1,1,1325.29696049506,1353.17706589722
TIC_261136679_TESS_sector_10.fits,TESS_fits,1,ephemeris_confirmed,16156,261,15895,153.640829667512,5.65509195701603,5.90200280186242,0.807785586596465,1.97950606499188,5.32586108538194,0.0637680802589881,6.18173974792069,5.82184824113483,Tier 1,1,2036.28014080343,2059.77298453013
TIC_261136679_TESS_sector_100.fits,TESS_fits,1,ephemeris_confirmed,968,13,955,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,Tier 1,1,1517.36434187078,1541.98959906386
TIC_261136679_TESS_sector_11.fits,TESS_fits,1,ephemeris_confirmed,15193,262,14931,286.219542266708,33.3780956036024,34.6171991712376,5.41908386299499,68.8255874473212,31.3554433925996,0.0666332699842122,6.4507211257621,6.05981909520477,Tier 1,1,2061.85212819409,2085.62393558244
TIC_261136679_TESS_sector_12.fits,TESS_fits,1,ephemeris_confirmed,16701,252,16449,329.039624291982,34.2628999340325,36.6883281023267,5.81139562137582,73.9484856327958,32.0845021451233,0.070253610372708,6.78956394291539,6.35789087643879,Tier 1,1,2144.51422935147,2169.94290686568
TIC_261136679_TESS_sector_13.fits,TESS_fits,1,ephemeris_confirmed,102142,1572,100570,246.91804810828,42.9178099483944,46.5962407538894,3.09180686108822,46.4558585971213,33.0872801779811,0.345962043780413,29.7109031553319,22.9054785932316,Tier 2,1,2228.96962480487,2254.06530979922
TIC_261136679_TESS_sector_14.fits,TESS_fits,1,ephemeris_confirmed,116263,1572,114691,301.586496491146,52.242459144954,57.9127659990092,3.71478628886798,68.8355309360375,47.8677118712315,0.0956989235846,9.13924460289834,8.3739306022791,Tier 1,1,2361.77232731938,2389.72063013639
TIC_261136679_TESS_sector_15.fits,TESS_fits,1,ephemeris_confirmed,111055,1572,109483,274.532013204154,46.1896397091572,51.6618773427441,3.10002594964206,53.8090174228051,42.1752962076176,0.0998593882887228,9.51823428050902,8.6910041446888,Tier 1,1,2333.8552369254,2360.55379823622
TIC_261136679_TESS_sector_16.fits,TESS_fits,1,ephemeris_confirmed,19337,261,19076,271.845425754536,26.3005078810807,27.8365086799083,4.29682147284624,42.8146548204687,22.6957399619077,0.172138849047945,15.8830156021494,13.7060772190112,Tier 2,1,2361.77290603051,2389.71889402292
TIC_261136679_TESS_sector_17.fits,TESS_fits,1,ephemeris_confirmed,18493,263,18230,245.474283849134,30.7844461878768,32.140022478663,4.12849612901847,58.4330900068703,29.5707824919588,0.0418965562792201,4.10426641989619,3.94245746215813,Tier 1,1,2333.85581564131,2360.55206210434
TIC_261136679_TESS_sector_18.fits,TESS_fits,1,ephemeris_confirmed,16804,262,16542,262.627213496902,30.5915692218399,33.2895600331923,4.7633508563893,57.813648866101,23.8994725260536,0.32314334231604,28.0010225685568,21.8756241213304,Tier 2,1,2229.11349193886,2254.06380514442
TIC_261136679_TESS_sector_19.fits,TESS_fits,1,ephemeris_confirmed,87981,1179,86802,307.679480113343,46.5291639899802,49.9164925407238,3.68345819481046,63.0500123731968,43.3528329141609,0.0760177721507719,7.3266978471938,6.82653803215409,Tier 1,1,3126.64298402883,3151.31248162817
TIC_261136679_TESS_sector_2.fits,TESS_fits,1,ephemeris_confirmed,14672,191,14481,354.283927027854,10.9734946154157,25.6975479011719,0.845321932493009,8.71306686098274,7.9386106885755,0.46564304862259,38.2294087201904,27.6564944277349,Tier 2,1,1410.90211061086,1436.41410715405
